RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
394875,143,"Montgomery, AL",msa,AL,127915.0,132712.0,136524.0,141102.0,141313.0,139494.0,141906.0,142503.0,145327.0,142388.0,141886.0,140782.0,144583.0,148781.0,149891.0,154210.0,151714.0,149492.0,143066.0,141744.0,145606.0,147008.0,156515.0,156721.0,159440.0,160645.0,168630.0,172138.0,167863.0,166356.0,164395.0,167873.0,164422.0,165955.0,171077.0,175534.0,179719.0,176682.0,177725.0,172252.0,171780.0,171914.0,178643.0,179177.0,178197.0,176282.0,176294.0,179635.0,180463.0,180888.0,175739.0,170250.0,171743.0,168386.0,172596.0,173401.0,178006.0,179745.0,174876.0,172701.0,175015.0,176397.0,179688.0,176083.0,170715.0,167530.0,169969.0,179336.0,180171.0,183500.0,185556.0,189680.0
394520,144,"Davenport, IA",msa,IL,122199.0,125035.0,127517.0,130605.0,127621.0,126241.0,128049.0,130516.0,131374.0,130860.0,131919.0,132101.0,133879.0,134600.0,134495.0,130574.0,130041.0,133325.0,138732.0,139240.0,138756.0,138684.0,137203.0,132486.0,133058.0,136531.0,144509.0,146196.0,148817.0,147450.0,150548.0,149408.0,148854.0,144178.0,145164.0,146794.0,149380.0,149917.0,148740.0,147927.0,147319.0,147617.0,149303.0,151592.0,152978.0,150664.0,149730.0,155085.0,157476.0,156808.0,153151.0,156311.0,156367.0,153034.0,146094.0,143798.0,149925.0,156207.0,159687.0,160814.0,164466.0,169872.0,167750.0,165781.0,165308.0,168290.0,174190.0,174882.0,173273.0,165950.0,167111.0,169941.0
395146,145,"Tallahassee, FL",msa,FL,163899.0,161915.0,161193.0,164855.0,165809.0,170322.0,165589.0,168001.0,168983.0,174593.0,177468.0,178686.0,176692.0,170679.0,173692.0,175779.0,187427.0,184093.0,186242.0,187218.0,195879.0,197652.0,192669.0,187586.0,184349.0,194863.0,205563.0,219659.0,212687.0,208940.0,198064.0,198705.0,195322.0,196175.0,201002.0,203619.0,208614.0,208302.0,210831.0,216529.0,220671.0,223051.0,216668.0,216711.0,221962.0,224006.0,224756.0,225848.0,229078.0,231789.0,228030.0,233096.0,237843.0,240048.0,239675.0,235436.0,240883.0,245016.0,252463.0,252681.0,256128.0,251356.0,247021.0,248426.0,254804.0,254665.0,253989.0,257461.0,266214.0,266717.0,262300.0,268718.0
394576,146,"Eugene, OR",msa,OR,278881.0,279216.0,283288.0,281267.0,283413.0,281625.0,288003.0,288194.0,290213.0,287650.0,289372.0,291532.0,296415.0,294614.0,294786.0,294100.0,301265.0,306736.0,315562.0,320367.0,323286.0,319096.0,314573.0,315119.0,322744.0,333536.0,342483.0,347767.0,347977.0,350420.0,355878.0,365038.0,365725.0,370494.0,376732.0,386108.0,392123.0,394189.0,398451.0,398518.0,402035.0,401373.0,407615.0,413818.0,430296.0,439735.0,435876.0,429942.0,427071.0,434792.0,431209.0,424051.0,420655.0,424038.0,424862.0,421067.0,422867.0,427250.0,434431.0,437196.0,437510.0,437718.0,432907.0,430520.0,428077.0,427944.0,428091.0,424785.0,431008.0,431847.0,436936.0,439753.0
394901,147,"Naples, FL",msa,FL,310183.0,315135.0,318145.0,321562.0,320734.0,316808.0,312130.0,313490.0,309585.0,311764.0,311285.0,311727.0,310352.0,310566.0,316635.0,318945.0,321198.0,315740.0,318960.0,327036.0,330580.0,324522.0,324377.0,337743.0,352577.0,362360.0,369866.0,375668.0,375973.0,371769.0,373891.0,374949.0,384313.0,389270.0,402117.0,411160.0,422963.0,428717.0,434218.0,447241.0,461706.0,476451.0,484191.0,496689.0,509721.0,532556.0,545791.0,541035.0,533593.0,526284.0,525283.0,538642.0,537700.0,554154.0,550481.0,568500.0,577580.0,577272.0,571671.0,572232.0,579628.0,579368.0,575661.0,567112.0,577495.0,584063.0,590402.0,600913.0,603446.0,618258.0,595999.0,586009.0
394332,148,"Ann Arbor, MI",msa,MI,258535.0,256383.0,254902.0,251772.0,253287.0,254387.0,259236.0,269050.0,272257.0,270953.0,268500.0,263397.0,266056.0,264960.0,271111.0,265033.0,266553.0,268604.0,268757.0,268317.0,268900.0,275321.0,275800.0,272718.0,270597.0,272134.0,274961.0,281862.0,286796.0,287856.0,285500.0,297463.0,308052.0,316826.0,312107.0,312811.0,311657.0,311777.0,312597.0,320468.0,320221.0,310824.0,307443.0,308282.0,326976.0,339793.0,347349.0,347161.0,343400.0,342271.0,338603.0,339154.0,341135.0,335888.0,331654.0,325145.0,333533.0,342423.0,354443.0,357476.0,356785.0,355951.0,353345.0,351365.0,348125.0,356170.0,355714.0,368344.0,364686.0,373821.0,373039.0,382749.0
394927,149,"Ocala, FL",msa,FL,148538.0,147771.0,150165.0,150866.0,154542.0,154989.0,155686.0,153646.0,153251.0,152717.0,156726.0,158422.0,158943.0,155041.0,155755.0,158036.0,162316.0,163808.0,164149.0,164920.0,166695.0,164884.0,163708.0,162369.0,167152.0,167975.0,173630.0,178034.0,180942.0,179956.0,179302.0,183854.0,191107.0,198526.0,205629.0,210430.0,214493.0,219874.0,224442.0,229072.0,232147.0,235302.0,240873.0,244935.0,248477.0,252067.0,256153.0,261179.0,262742.0,260563.0,259201.0,255806.0,251833.0,244287.0,245945.0,251312.0,258535.0,260429.0,258950.0,259676.0,259271.0,262252.0,264762.0,265642.0,265109.0,261823.0,261541.0,262631.0,264766.0,266185.0,264977.0,261752.0
394679,150,"Hickory, NC",msa,NC,139792.0,142555.0,140386.0,141896.0,143014.0,147655.0,147069.0,149044.0,151869.0,155271.0,154062.0,155573.0,157583.0,157827.0,156084.0,157984.0,164218.0,165863.0,166193.0,165605.0,168800.0,167744.0,169865.0,170449.0,176849.0,180973.0,186380.0,188975.0,188484.0,187466.0,186008.0,188008.0,186058.0,187706.0,189693.0,190487.0,191524.0,192133.0,198031.0,206143.0,207728.0,211175.0,210920.0,213603.0,216610.0,217556.0,221248.0,219593.0,224746.0,223482.0,227050.0,221794.0,223343.0,223007.0,223819.0,226941.0,227655.0,234316.0,237670.0,240295.0,243811.0,241252.0,243563.0,237048.0,237987.0,235758.0,236185.0,239280.0,242340.0,246545.0,243077.0,246735.0
394697,151,"Huntington, WV",msa,OH,117670.0,123591.0,121230.0,124374.0,124615.0,124624.0,128585.0,126623.0,126352.0,121858.0,122998.0,122939.0,124202.0,125117.0,125554.0,123682.0,124206.0,128497.0,131590.0,130934.0,131041.0,127796.0,125712.0,121782.0,128184.0,132709.0,136127.0,138317.0,138330.0,142010.0,141024.0,141192.0,136000.0,135105.0,135903.0,141219.0,142890.0,146273.0,148983.0,151178.0,151689.0,154731.0,152406.0,152207.0,146342.0,148398.0,151198.0,153088.0,156514.0,153821.0,153406.0,153755.0,155259.0,151502.0,145479.0,146526.0,151343.0,156185.0,160197.0,164644.0,163938.0,159580.0,154523.0,154983.0,159243.0,160263.0,159861.0,157040.0,159244.0,162710.0,166647.0,169808.0
394602,152,"Fort Collins, CO",msa,CO,369938.0,370847.0,368931.0,367927.0,365407.0,367915.0,370972.0,376441.0,379074.0,384062.0,390721.0,390247.0,387816.0,382503.0,379429.0,371722.0,370760.0,372065.0,376410.0,381199.0,388753.0,393914.0,395924.0,395229.0,399334.0,409076.0,414710.0,413786.0,406487.0,406419.0,414453.0,424796.0,429487.0,438241.0,445790.0,460445.0,465759.0,468417.0,467162.0,468144.0,476070.0,479745.0,493257.0,505360.0,527785.0,537082.0,543679.0,538944.0,532979.0,530168.0,530929.0,533031.0,529405.0,526249.0,523062.0,529965.0,530859.0,539343.0,541177.0,552653.0,552455.0,556596.0,543972.0,531787.0,519924.0,517664.0,529661.0,545281.0,556918.0,562330.0,564134.0,557483.0
395033,153,"Rockford, IL",msa,IL,117997.0,117664.0,117368.0,119006.0,115338.0,114895.0,116741.0,120215.0,122199.0,120798.0,121584.0,121633.0,125521.0,125502.0,122915.0,122373.0,122923.0,126115.0,124419.0,127697.0,126364.0,124701.0,120858.0,125900.0,130146.0,134101.0,133402.0,136294.0,136577.0,136742.0,133251.0,131634.0,133297.0,138120.0,142177.0,143096.0,142799.0,143156.0,143054.0,141331.0,143049.0,142519.0,140741.0,140793.0,143290.0,148304.0,150558.0,150491.0,150306.0,148319.0,149556.0,148127.0,147971.0,146120.0,148035.0,149812.0,151568.0,153368.0,152257.0,153016.0,152130.0,156854.0,159701.0,164324.0,162768.0,165848.0,169394.0,174948.0,172924.0,167492.0,167127.0,173469.0
