Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
          California                    ,13326,6776,168,141,6241,jun,2023
          Hawaii                        ,335,202,16,0,117,jun,2023
          Oregon                        ,1513,969,44,23,477,jun,2023
          Washington                    ,3177,1835,156,144,1042,jun,2023
United States                 ,116711,76502,2348,1699,36162,sep,2023
Northeast Region              ,8366,4577,266,173,3350,sep,2023
     New England Division          ,2603,1396,90,69,1048,sep,2023
          Connecticut                   ,323,167,12,8,136,sep,2023
          Maine                         ,659,394,22,7,236,sep,2023
          Massachusetts                 ,1009,402,34,40,533,sep,2023
          New Hampshire                 ,328,266,10,11,41,sep,2023
          Rhode Island                  ,71,57,8,0,6,sep,2023
          Vermont                       ,213,110,4,3,96,sep,2023
     Middle Atlantic Division      ,5763,3181,176,104,2302,sep,2023
          New Jersey                    ,2238,1104,90,42,1002,sep,2023
          New York                      ,1269,778,44,29,418,sep,2023
          Pennsylvania                  ,2256,1299,42,33,882,sep,2023
Midwest Region                ,17168,10491,572,480,5625,sep,2023
     East North Central Division   ,10139,6184,340,269,3346,sep,2023
          Illinois                      ,1470,781,56,76,557,sep,2023
          Indiana                       ,2527,1570,50,7,900,sep,2023
          Michigan                      ,1691,1367,28,120,176,sep,2023
          Ohio                          ,2485,1369,78,62,976,sep,2023
          Wisconsin                     ,1966,1097,128,4,737,sep,2023
     West North Central Division   ,7029,4307,232,211,2279,sep,2023
          Iowa                          ,931,559,44,76,252,sep,2023
          Kansas                        ,649,443,98,16,92,sep,2023
          Minnesota                     ,1982,1269,30,27,656,sep,2023
          Missouri                      ,1489,1017,36,25,411,sep,2023
          Nebraska                      ,648,372,4,14,258,sep,2023
          North Dakota                  ,263,197,8,4,54,sep,2023
          South Dakota                  ,1067,450,12,49,556,sep,2023
South Region                  ,64067,45743,942,703,16679,sep,2023
     South Atlantic Division       ,37155,27098,400,218,9439,sep,2023
          Delaware                      ,468,429,4,0,35,sep,2023
          District of Columbia          ,537,9,8,3,517,sep,2023
          Florida                       ,15871,11590,204,51,4026,sep,2023
          Georgia                       ,4651,3769,30,30,822,sep,2023
          Maryland                      ,951,784,2,8,157,sep,2023
          North Carolina                ,8318,5566,54,15,2683,sep,2023
          South Carolina                ,3378,3022,34,99,223,sep,2023
          Virginia                      ,2655,1627,62,9,957,sep,2023
          West Virginia                 ,326,302,2,3,19,sep,2023
     East South Central Division   ,6319,4971,96,132,1120,sep,2023
          Alabama                       ,1346,1294,4,4,44,sep,2023
          Kentucky                      ,1377,585,50,31,711,sep,2023
          Mississippi                   ,605,573,14,6,12,sep,2023
          Tennessee                     ,2991,2519,28,91,353,sep,2023
     West South Central Division   ,20593,13674,446,353,6120,sep,2023
          Arkansas                      ,889,759,28,63,39,sep,2023
          Louisiana                     ,1386,857,84,0,445,sep,2023
          Oklahoma                      ,1245,857,74,51,263,sep,2023
          Texas                         ,17073,11201,260,239,5373,sep,2023
West Region                   ,27110,15691,568,343,10508,sep,2023
     Mountain Division             ,14399,8785,238,125,5251,sep,2023
          Arizona                       ,5793,3135,132,20,2506,sep,2023
          Colorado                      ,2255,1519,30,27,679,sep,2023
          Idaho                         ,2013,887,36,23,1067,sep,2023
          Montana                       ,305,239,10,9,47,sep,2023
          Nevada                        ,1351,1118,14,17,202,sep,2023
          New Mexico                    ,595,561,8,0,26,sep,2023
          Utah                          ,1957,1211,8,25,713,sep,2023
          Wyoming                       ,130,115,0,4,11,sep,2023
     Pacific Division              ,12711,6906,330,218,5257,sep,2023
          Alaska                        ,64,42,6,0,16,sep,2023
          California                    ,8212,4359,160,127,3566,sep,2023
          Hawaii                        ,387,174,10,0,203,sep,2023
          Oregon                        ,1173,829,58,4,282,sep,2023
          Washington                    ,2875,1502,96,87,1190,sep,2023
United States                 ,125279,79781,2824,1684,40990,oct,2023
Northeast Region              ,10472,4909,356,202,5005,oct,2023
     New England Division          ,2581,1516,84,57,924,oct,2023
          Connecticut                   ,450,176,4,0,270,oct,2023
          Maine                         ,471,390,14,6,61,oct,2023
          Massachusetts                 ,841,465,36,24,316,oct,2023
          New Hampshire                 ,410,313,20,13,64,oct,2023
          Rhode Island                  ,80,67,4,3,6,oct,2023
          Vermont                       ,329,105,6,11,207,oct,2023
     Middle Atlantic Division      ,7891,3393,272,145,4081,oct,2023
          New Jersey                    ,2896,1192,180,64,1460,oct,2023
          New York                      ,2060,854,48,47,1111,oct,2023
          Pennsylvania                  ,2935,1347,44,34,1510,oct,2023
Midwest Region                ,16594,10630,602,498,4864,oct,2023
     East North Central Division   ,10209,6335,342,312,3220,oct,2023
          Illinois                      ,1473,844,28,57,544,oct,2023
          Indiana                       ,3197,1512,74,32,1579,oct,2023
          Michigan                      ,1763,1333,42,128,260,oct,2023
          Ohio                          ,2046,1548,38,87,373,oct,2023
          Wisconsin                     ,1730,1098,160,8,464,oct,2023
     West North Central Division   ,6385,4295,260,186,1644,oct,2023
          Iowa                          ,912,685,30,33,164,oct,2023
          Kansas                        ,565,470,70,8,17,oct,2023
          Minnesota                     ,1665,1179,46,26,414,oct,2023
          Missouri                      ,1244,991,30,93,130,oct,2023
          Nebraska                      ,1316,522,56,7,731,oct,2023
          North Dakota                  ,175,159,16,0,0,oct,2023
          South Dakota                  ,508,289,12,19,188,oct,2023
South Region                  ,70633,47770,1170,663,21030,oct,2023
     South Atlantic Division       ,39112,27180,462,262,11208,oct,2023
          Delaware                      ,586,550,0,0,36,oct,2023
          District of Columbia          ,185,11,10,0,164,oct,2023
          Florida                       ,14930,11269,192,136,3333,oct,2023
          Georgia                       ,5487,3803,52,68,1564,oct,2023
          Maryland                      ,1573,820,2,12,739,oct,2023
          North Carolina                ,9180,5588,64,23,3505,oct,2023
          South Carolina                ,3605,3121,80,12,392,oct,2023
          Virginia                      ,3304,1779,56,11,1458,oct,2023
          West Virginia                 ,262,239,6,0,17,oct,2023
     East South Central Division   ,7466,5276,74,93,2023,oct,2023
          Alabama                       ,1242,1204,2,6,30,oct,2023
          Kentucky                      ,1717,682,34,10,991,oct,2023
          Mississippi                   ,604,575,2,3,24,oct,2023
          Tennessee                     ,3903,2815,36,74,978,oct,2023
     West South Central Division   ,24055,15314,634,308,7799,oct,2023
          Arkansas                      ,1123,772,88,31,232,oct,2023
          Louisiana                     ,1126,989,70,3,64,oct,2023
          Oklahoma                      ,976,837,94,24,21,oct,2023
          Texas                         ,20830,12716,382,250,7482,oct,2023
West Region                   ,27580,16472,696,321,10091,oct,2023
     Mountain Division             ,14559,9133,350,179,4897,oct,2023
          Arizona                       ,5110,3275,222,6,1607,oct,2023
          Colorado                      ,2934,1777,62,40,1055,oct,2023
          Idaho                         ,1624,1141,28,41,414,oct,2023
          Montana                       ,467,197,4,10,256,oct,2023
          Nevada                        ,1672,851,8,10,803,oct,2023
          New Mexico                    ,747,533,4,0,210,oct,2023
          Utah                          ,1852,1258,14,51,529,oct,2023
          Wyoming                       ,153,101,8,21,23,oct,2023
     Pacific Division              ,13021,7339,346,142,5194,oct,2023
          Alaska                        ,82,44,6,0,32,oct,2023
          California                    ,8338,4673,192,76,3397,oct,2023
          Hawaii                        ,343,200,10,0,133,oct,2023
          Oregon                        ,1301,840,18,11,432,oct,2023
          Washington                    ,2957,1582,120,55,1200,oct,2023
United States                 ,141799,88312,3510,2096,47881,aug,2023
Northeast Region              ,11030,5160,356,286,5228,aug,2023
     New England Division          ,3140,1724,136,91,1189,aug,2023
          Connecticut                   ,519,188,10,12,309,aug,2023
          Maine                         ,691,500,22,14,155,aug,2023
          Massachusetts                 ,1117,522,62,48,485,aug,2023
          New Hampshire                 ,491,328,28,7,128,aug,2023
          Rhode Island                  ,73,63,6,4,0,aug,2023
          Vermont                       ,249,123,8,6,112,aug,2023
     Middle Atlantic Division      ,7890,3436,220,195,4039,aug,2023
          New Jersey                    ,3145,1068,134,71,1872,aug,2023
          New York                      ,2868,913,50,74,1831,aug,2023
          Pennsylvania                  ,1877,1455,36,50,336,aug,2023
Midwest Region                ,20412,11643,590,454,7725,aug,2023
     East North Central Division   ,11067,6929,270,242,3626,aug,2023
          Illinois                      ,1435,830,34,90,481,aug,2023
          Indiana                       ,2165,1738,44,18,365,aug,2023
          Michigan                      ,2298,1530,36,66,666,aug,2023
          Ohio                          ,2977,1568,36,58,1315,aug,2023
          Wisconsin                     ,2192,1263,120,10,799,aug,2023
     West North Central Division   ,9345,4714,320,212,4099,aug,2023
          Iowa                          ,976,788,74,38,76,aug,2023
          Kansas                        ,1413,507,96,66,744,aug,2023
          Minnesota                     ,3185,1257,36,39,1853,aug,2023
          Missouri                      ,1718,1110,50,17,541,aug,2023
          Nebraska                      ,892,471,10,11,400,aug,2023
          North Dakota                  ,403,195,22,8,178,aug,2023
          South Dakota                  ,758,386,32,33,307,aug,2023
South Region                  ,76502,52503,1728,829,21442,aug,2023
     South Atlantic Division       ,41386,29410,698,157,11121,aug,2023
          Delaware                      ,662,502,22,0,138,aug,2023
          District of Columbia          ,120,17,10,0,93,aug,2023
          Florida                       ,17996,12214,406,67,5309,aug,2023
          Georgia                       ,5917,4350,42,34,1491,aug,2023
          Maryland                      ,1575,1006,6,0,563,aug,2023
          North Carolina                ,7365,5878,126,14,1347,aug,2023
          South Carolina                ,4084,3428,70,18,568,aug,2023
          Virginia                      ,3386,1762,16,13,1595,aug,2023
          West Virginia                 ,281,253,0,11,17,aug,2023
     East South Central Division   ,9733,5862,130,286,3455,aug,2023
          Alabama                       ,1672,1436,10,7,219,aug,2023
          Kentucky                      ,1389,806,64,235,284,aug,2023
          Mississippi                   ,679,647,10,3,19,aug,2023
          Tennessee                     ,5993,2973,46,41,2933,aug,2023
     West South Central Division   ,25383,17231,900,386,6866,aug,2023
          Arkansas                      ,1053,808,134,30,81,aug,2023
          Louisiana                     ,1284,1100,56,9,119,aug,2023
          Oklahoma                      ,1323,1036,158,8,121,aug,2023
          Texas                         ,21723,14287,552,339,6545,aug,2023
West Region                   ,33855,19006,836,527,13486,aug,2023
     Mountain Division             ,15443,10573,400,258,4212,aug,2023
          Arizona                       ,4967,3615,224,11,1117,aug,2023
          Colorado                      ,3304,1847,110,25,1322,aug,2023
          Idaho                         ,1880,1313,24,42,501,aug,2023
          Montana                       ,395,284,10,15,86,aug,2023
          Nevada                        ,1298,1031,6,54,207,aug,2023
          New Mexico                    ,851,759,10,49,33,aug,2023
          Utah                          ,2591,1582,12,51,946,aug,2023
          Wyoming                       ,157,142,4,11,0,aug,2023
     Pacific Division              ,18412,8433,436,269,9274,aug,2023
          Alaska                        ,44,40,4,0,0,aug,2023
          California                    ,12630,5464,250,186,6730,aug,2023
          Hawaii                        ,392,224,16,0,152,aug,2023
          Oregon                        ,1654,971,48,7,628,aug,2023
          Washington                    ,3692,1734,118,76,1764,aug,2023
United States                 ,139585,88913,3320,1517,45835,may,2023
Northeast Region              ,12302,5511,262,187,6342,may,2023
     New England Division          ,3541,1757,98,61,1625,may,2023
          Connecticut                   ,548,192,14,0,342,may,2023
          Maine                         ,699,508,28,10,153,may,2023
          Massachusetts                 ,1481,501,24,41,915,may,2023
          New Hampshire                 ,472,330,12,7,123,may,2023
          Rhode Island                  ,131,69,8,0,54,may,2023
          Vermont                       ,210,157,12,3,38,may,2023
     Middle Atlantic Division      ,8761,3754,164,126,4717,may,2023
          New Jersey                    ,3757,1173,90,70,2424,may,2023
          New York                      ,2586,930,56,23,1577,may,2023
          Pennsylvania                  ,2418,1651,18,33,716,may,2023
Midwest Region                ,19000,11352,614,373,6661,may,2023
     East North Central Division   ,9888,6669,280,192,2747,may,2023
          Illinois                      ,1418,899,40,46,433,may,2023
          Indiana                       ,2522,1677,36,0,809,may,2023
          Michigan                      ,1614,1303,34,39,238,may,2023
          Ohio                          ,2327,1516,44,63,704,may,2023
          Wisconsin                     ,2007,1274,126,44,563,may,2023
     West North Central Division   ,9112,4683,334,181,3914,may,2023
          Iowa                          ,1327,782,28,45,472,may,2023
          Kansas                        ,1132,505,150,14,463,may,2023
          Minnesota                     ,2847,1301,22,17,1507,may,2023
          Missouri                      ,1818,1079,78,28,633,may,2023
          Nebraska                      ,777,463,16,40,258,may,2023
          North Dakota                  ,450,215,20,4,211,may,2023
          South Dakota                  ,761,338,20,33,370,may,2023
South Region                  ,76042,52558,1682,573,21229,may,2023
     South Atlantic Division       ,41485,29714,508,129,11134,may,2023
          Delaware                      ,642,550,14,0,78,may,2023
          District of Columbia          ,35,25,2,0,8,may,2023
          Florida                       ,15062,11411,204,27,3420,may,2023
          Georgia                       ,7066,4357,64,64,2581,may,2023
          Maryland                      ,1744,985,2,0,757,may,2023
          North Carolina                ,9184,6375,136,6,2667,may,2023
          South Carolina                ,4258,3520,58,14,666,may,2023
          Virginia                      ,3161,2176,28,18,939,may,2023
          West Virginia                 ,333,315,0,0,18,may,2023
     East South Central Division   ,8246,6105,168,77,1896,may,2023
          Alabama                       ,2445,1639,58,14,734,may,2023
          Kentucky                      ,1147,741,54,20,332,may,2023
          Mississippi                   ,690,661,4,6,19,may,2023
          Tennessee                     ,3964,3064,52,37,811,may,2023
     West South Central Division   ,26311,16739,1006,367,8199,may,2023
          Arkansas                      ,1053,878,40,25,110,may,2023
          Louisiana                     ,1351,1194,56,6,95,may,2023
          Oklahoma                      ,1929,1082,98,23,726,may,2023
          Texas                         ,21978,13585,812,313,7268,may,2023
West Region                   ,32241,19492,762,384,11603,may,2023
     Mountain Division             ,16339,10493,342,222,5282,may,2023
          Arizona                       ,4534,3182,172,42,1138,may,2023
          Colorado                      ,4311,1990,72,22,2227,may,2023
          Idaho                         ,1765,1223,18,21,503,may,2023
          Montana                       ,573,427,10,24,112,may,2023
          Nevada                        ,2224,1344,38,18,824,may,2023
          New Mexico                    ,658,645,6,0,7,may,2023
          Utah                          ,2091,1511,22,92,466,may,2023
          Wyoming                       ,183,171,4,3,5,may,2023
     Pacific Division              ,15902,8999,420,162,6321,may,2023
          Alaska                        ,55,49,6,0,0,may,2023
          California                    ,10066,6003,220,98,3745,may,2023
          Hawaii                        ,224,214,10,0,0,may,2023
          Oregon                        ,1602,951,54,16,581,may,2023
          Washington                    ,3955,1782,130,48,1995,may,2023
