Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
Midwest Region                ,19912,13994,650,247,5021,sep,2020
East North Central Division   ,11013,7832,384,157,2640,sep,2020
Illinois                      ,1729,1065,56,21,587,sep,2020
Indiana                       ,2475,1926,50,7,492,sep,2020
Michigan                      ,2040,1588,64,57,331,sep,2020
Ohio                          ,2566,1829,38,66,633,sep,2020
Wisconsin                     ,2203,1424,176,6,597,sep,2020
West North Central Division   ,8899,6162,266,90,2381,sep,2020
Iowa                          ,1344,1077,16,4,247,sep,2020
Kansas                        ,947,621,54,16,256,sep,2020
Minnesota                     ,2907,1820,76,27,984,sep,2020
Missouri                      ,1604,1295,42,16,251,sep,2020
Nebraska                      ,866,551,10,0,305,sep,2020
North Dakota                  ,469,360,48,9,52,sep,2020
South Dakota                  ,762,438,20,18,286,sep,2020
South Region                  ,69045,51972,950,546,15577,sep,2020
South Atlantic Division       ,35773,28179,484,345,6765,sep,2020
Delaware                      ,792,748,26,0,18,sep,2020
District of Columbia          ,363,11,4,0,348,sep,2020
Florida                       ,14408,10633,212,214,3349,sep,2020
Georgia                       ,5459,4521,206,21,711,sep,2020
Maryland                      ,1932,1334,0,27,571,sep,2020
North Carolina                ,5905,5222,6,54,623,sep,2020
South Carolina                ,3562,3338,24,3,197,sep,2020
Virginia                      ,3028,2108,6,26,888,sep,2020
West Virginia                 ,324,264,0,0,60,sep,2020
East South Central Division   ,7740,6017,54,58,1611,sep,2020
Alabama                       ,1683,1514,4,22,143,sep,2020
Kentucky                      ,1305,847,22,19,417,sep,2020
Mississippi                   ,734,685,2,7,40,sep,2020
Tennessee                     ,4018,2971,26,10,1011,sep,2020
West South Central Division   ,25532,17776,412,143,7201,sep,2020
Arkansas                      ,1235,872,100,13,250,sep,2020
Louisiana                     ,1547,1504,20,7,16,sep,2020
Oklahoma                      ,1431,1132,22,0,277,sep,2020
Texas                         ,21319,14268,270,123,6658,sep,2020
West Region                   ,31200,22314,610,377,7899,sep,2020
Mountain Division             ,15962,12859,330,218,2555,sep,2020
Arizona                       ,4340,4070,44,10,216,sep,2020
Colorado                      ,4619,3240,146,17,1216,sep,2020
Idaho                         ,1585,1321,22,108,134,sep,2020
Montana                       ,408,236,18,4,150,sep,2020
Nevada                        ,2006,1347,72,22,565,sep,2020
New Mexico                    ,445,390,0,8,47,sep,2020
Utah                          ,2363,2082,22,46,213,sep,2020
Wyoming                       ,196,173,6,3,14,sep,2020
Pacific Division              ,15238,9455,280,159,5344,sep,2020
Alaska                        ,142,127,0,4,11,sep,2020
California                    ,9476,6200,144,84,3048,sep,2020
Hawaii                        ,150,146,4,0,0,sep,2020
Oregon                        ,1004,819,44,7,134,sep,2020
Washington                    ,4466,2163,88,64,2151,sep,2020
United States                 ,132920,95298,3160,2002,32460,oct,2020
Northeast Region              ,11477,5505,432,465,5075,oct,2020
New England Division          ,2804,1855,132,93,724,oct,2020
Connecticut                   ,500,243,20,11,226,oct,2020
Maine                         ,607,491,34,43,39,oct,2020
Massachusetts                 ,1135,670,38,32,395,oct,2020
New Hampshire                 ,319,274,12,0,33,oct,2020
Rhode Island                  ,115,71,24,4,16,oct,2020
Vermont                       ,128,106,4,3,15,oct,2020
Middle Atlantic Division      ,8673,3650,300,372,4351,oct,2020
New Jersey                    ,3367,1273,102,63,1929,oct,2020
New York                      ,3375,1067,124,56,2128,oct,2020
Pennsylvania                  ,1931,1310,74,253,294,oct,2020
Midwest Region                ,21064,13761,532,197,6574,oct,2020
East North Central Division   ,12518,8179,302,109,3928,oct,2020
Illinois                      ,1660,995,28,21,616,oct,2020
Indiana                       ,2719,1953,174,12,580,oct,2020
Michigan                      ,2350,1825,14,14,497,oct,2020
Ohio                          ,3374,1860,18,43,1453,oct,2020
Wisconsin                     ,2415,1546,68,19,782,oct,2020
West North Central Division   ,8546,5582,230,88,2646,oct,2020
Iowa                          ,1181,927,6,12,236,oct,2020
Kansas                        ,691,592,70,8,21,oct,2020
Minnesota                     ,2914,1761,32,10,1111,oct,2020
Missouri                      ,1469,1177,34,47,211,oct,2020
Nebraska                      ,1079,547,42,11,479,oct,2020
North Dakota                  ,340,250,40,0,50,oct,2020
South Dakota                  ,872,328,6,0,538,oct,2020
South Region                  ,68663,53480,1438,744,13001,oct,2020
South Atlantic Division       ,37755,29352,278,217,7908,oct,2020
Delaware                      ,969,812,34,16,107,oct,2020
District of Columbia          ,1001,17,0,0,984,oct,2020
Florida                       ,15768,11596,154,49,3969,oct,2020
Georgia                       ,5132,4642,28,32,430,oct,2020
Maryland                      ,1803,1318,6,10,469,oct,2020
North Carolina                ,6359,5059,32,107,1161,oct,2020
South Carolina                ,4098,3491,16,3,588,oct,2020
Virginia                      ,2288,2132,6,0,150,oct,2020
West Virginia                 ,337,285,2,0,50,oct,2020
East South Central Division   ,7526,5994,172,119,1241,oct,2020
Alabama                       ,1627,1539,6,23,59,oct,2020
Kentucky                      ,934,744,60,28,102,oct,2020
Mississippi                   ,698,643,14,7,34,oct,2020
Tennessee                     ,4267,3068,92,61,1046,oct,2020
West South Central Division   ,23382,18134,988,408,3852,oct,2020
Arkansas                      ,1252,830,58,122,242,oct,2020
Louisiana                     ,1556,1442,74,6,34,oct,2020
Oklahoma                      ,1200,1142,50,3,5,oct,2020
Texas                         ,19374,14720,806,277,3571,oct,2020
West Region                   ,31716,22552,758,596,7810,oct,2020
Mountain Division             ,17312,12454,426,320,4112,oct,2020
Arizona                       ,5352,4101,124,18,1109,oct,2020
Colorado                      ,4982,3165,206,14,1597,oct,2020
Idaho                         ,1502,1177,26,27,272,oct,2020
Montana                       ,353,231,30,23,69,oct,2020
Nevada                        ,1483,1102,6,59,316,oct,2020
New Mexico                    ,503,409,8,3,83,oct,2020
Utah                          ,3005,2144,22,173,666,oct,2020
Wyoming                       ,132,125,4,3,0,oct,2020
Pacific Division              ,14404,10098,332,276,3698,oct,2020
Alaska                        ,149,124,6,8,11,oct,2020
California                    ,8670,6230,178,208,2054,oct,2020
Hawaii                        ,373,286,2,3,82,oct,2020
Oregon                        ,1681,1167,50,4,460,oct,2020
Washington                    ,3531,2291,96,53,1091,oct,2020
United States                 ,126203,89930,2838,1720,31715,aug,2020
Northeast Region              ,9932,5207,442,285,3998,aug,2020
New England Division          ,2656,1748,116,55,737,aug,2020
Connecticut                   ,566,197,10,0,359,aug,2020
Maine                         ,515,495,14,6,0,aug,2020
Massachusetts                 ,979,552,74,30,323,aug,2020
New Hampshire                 ,346,297,6,8,35,aug,2020
Rhode Island                  ,122,94,10,8,10,aug,2020
Vermont                       ,128,113,2,3,10,aug,2020
Middle Atlantic Division      ,7276,3459,326,230,3261,aug,2020
New Jersey                    ,2268,1043,124,30,1071,aug,2020
New York                      ,3050,938,124,55,1933,aug,2020
Pennsylvania                  ,1958,1478,78,145,257,aug,2020
Midwest Region                ,17568,12581,628,240,4119,aug,2020
East North Central Division   ,9145,7164,372,143,1466,aug,2020
Illinois                      ,1212,948,54,54,156,aug,2020
Indiana                       ,1861,1687,36,7,131,aug,2020
Michigan                      ,1611,1381,8,16,206,aug,2020
Ohio                          ,2433,1829,138,58,408,aug,2020
Wisconsin                     ,2028,1319,136,8,565,aug,2020
West North Central Division   ,8423,5417,256,97,2653,aug,2020
Iowa                          ,1217,905,20,10,282,aug,2020
Kansas                        ,573,489,52,11,21,aug,2020
Minnesota                     ,3383,1680,106,31,1566,aug,2020
Missouri                      ,1687,1117,48,15,507,aug,2020
Nebraska                      ,657,585,6,3,63,aug,2020
North Dakota                  ,330,259,8,0,63,aug,2020
South Dakota                  ,576,382,16,27,151,aug,2020
South Region                  ,68440,51133,992,708,15607,aug,2020
South Atlantic Division       ,36649,26785,346,259,9259,aug,2020
Delaware                      ,1111,731,24,3,353,aug,2020
District of Columbia          ,363,18,22,0,323,aug,2020
Florida                       ,15378,10100,144,99,5035,aug,2020
Georgia                       ,4962,4256,52,85,569,aug,2020
Maryland                      ,1676,1018,2,23,633,aug,2020
North Carolina                ,6826,5156,64,16,1590,aug,2020
South Carolina                ,3555,3321,26,3,205,aug,2020
Virginia                      ,2260,1920,6,30,304,aug,2020
West Virginia                 ,518,265,6,0,247,aug,2020
East South Central Division   ,9184,6263,154,149,2618,aug,2020
Alabama                       ,1853,1453,42,18,340,aug,2020
Kentucky                      ,1427,963,70,47,347,aug,2020
Mississippi                   ,723,655,20,7,41,aug,2020
Tennessee                     ,5181,3192,22,77,1890,aug,2020
West South Central Division   ,22607,18085,492,300,3730,aug,2020
Arkansas                      ,1208,850,72,138,148,aug,2020
Louisiana                     ,1609,1501,42,7,59,aug,2020
Oklahoma                      ,1177,1132,38,0,7,aug,2020
Texas                         ,18613,14602,340,155,3516,aug,2020
West Region                   ,30263,21009,776,487,7991,aug,2020
Mountain Division             ,16391,11961,430,216,3784,aug,2020
Arizona                       ,4669,3723,126,27,793,aug,2020
Colorado                      ,4673,3054,90,19,1510,aug,2020
Idaho                         ,1424,1211,30,31,152,aug,2020
Montana                       ,527,249,66,16,196,aug,2020
Nevada                        ,1514,1168,86,48,212,aug,2020
New Mexico                    ,491,379,0,3,109,aug,2020
Utah                          ,2930,2024,28,66,812,aug,2020
Wyoming                       ,163,153,4,6,0,aug,2020
Pacific Division              ,13872,9048,346,271,4207,aug,2020
Alaska                        ,162,125,4,22,11,aug,2020
California                    ,8190,5599,198,153,2240,aug,2020
Hawaii                        ,286,198,0,3,85,aug,2020
Oregon                        ,1697,984,44,10,659,aug,2020
Washington                    ,3537,2142,100,83,1212,aug,2020
United States                 ,104432,66066,1844,1463,35059,may,2020
Northeast Region              ,9171,4336,248,177,4410,may,2020
New England Division          ,2882,1441,62,23,1356,may,2020
Connecticut                   ,661,206,12,0,443,may,2020
Maine                         ,396,324,14,3,55,may,2020
Massachusetts                 ,1347,501,24,16,806,may,2020
New Hampshire                 ,242,213,2,0,27,may,2020
Rhode Island                  ,98,69,8,4,17,may,2020
Vermont                       ,138,128,2,0,8,may,2020
Middle Atlantic Division      ,6289,2895,186,154,3054,may,2020
New Jersey                    ,1821,710,56,31,1024,may,2020
New York                      ,2500,720,74,63,1643,may,2020
Pennsylvania                  ,1968,1465,56,60,387,may,2020
Midwest Region                ,15490,9876,448,250,4916,may,2020
East North Central Division   ,8773,5568,278,165,2762,may,2020
Illinois                      ,1234,726,36,44,428,may,2020
Indiana                       ,2183,1284,56,78,765,may,2020
Michigan                      ,1538,1190,30,11,307,may,2020
Ohio                          ,2142,1335,48,24,735,may,2020
Wisconsin                     ,1676,1033,108,8,527,may,2020
West North Central Division   ,6717,4308,170,85,2154,may,2020
Iowa                          ,951,794,42,10,105,may,2020
Kansas                        ,593,395,28,12,158,may,2020
Minnesota                     ,2451,1220,24,12,1195,may,2020
Missouri                      ,1403,914,66,41,382,may,2020
Nebraska                      ,565,451,4,3,107,may,2020
North Dakota                  ,240,217,0,0,23,may,2020
South Dakota                  ,514,317,6,7,184,may,2020
South Region                  ,55576,37165,774,690,16947,may,2020
South Atlantic Division       ,29650,20198,296,223,8933,may,2020
Delaware                      ,441,406,10,20,5,may,2020
District of Columbia          ,393,13,6,0,374,may,2020
Florida                       ,11776,8042,156,132,3446,may,2020
Georgia                       ,3898,2862,36,15,985,may,2020
Maryland                      ,1550,765,0,4,781,may,2020
North Carolina                ,5341,4012,14,3,1312,may,2020
South Carolina                ,2731,2205,32,11,483,may,2020
Virginia                      ,3233,1663,40,38,1492,may,2020
West Virginia                 ,287,230,2,0,55,may,2020
East South Central Division   ,6983,4682,76,148,2077,may,2020
Alabama                       ,1334,1118,4,19,193,may,2020
Kentucky                      ,1090,661,18,31,380,may,2020
Mississippi                   ,860,538,6,7,309,may,2020
Tennessee                     ,3699,2365,48,91,1195,may,2020
West South Central Division   ,18943,12285,402,319,5937,may,2020
Arkansas                      ,1069,601,76,120,272,may,2020
Louisiana                     ,1200,1092,62,3,43,may,2020
Oklahoma                      ,755,705,32,3,15,may,2020
Texas                         ,15919,9887,232,193,5607,may,2020
West Region                   ,24195,14689,374,346,8786,may,2020
Mountain Division             ,11294,8462,162,206,2464,may,2020
Arizona                       ,3128,2479,36,12,601,may,2020
Colorado                      ,2604,2307,16,10,271,may,2020
Idaho                         ,1268,1037,46,71,114,may,2020
Montana                       ,471,178,36,68,189,may,2020
Nevada                        ,1122,600,16,16,490,may,2020
New Mexico                    ,310,300,0,0,10,may,2020
Utah                          ,2226,1402,6,29,789,may,2020
Wyoming                       ,165,159,6,0,0,may,2020
Pacific Division              ,12901,6227,212,140,6322,may,2020
Alaska                        ,113,83,6,12,12,may,2020
California                    ,6705,3439,82,47,3137,may,2020
Hawaii                        ,258,160,4,0,94,may,2020
Oregon                        ,1268,735,12,8,513,may,2020
Washington                    ,4557,1810,108,73,2566,may,2020
