Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
Nebraska,789,428,12,4,345,aug,2018
North Dakota,404,238,4,3,159,aug,2018
South Dakota,624,291,12,11,310,aug,2018
South,59783,42083,652,611,16437,aug,2018
South Atlantic,33654,22825,336,347,10146,aug,2018
Delaware,535,490,0,0,45,aug,2018
District of Columbia,340,11,6,0,323,aug,2018
Florida,12439,8281,188,289,3681,aug,2018
Georgia,4476,3561,28,22,865,aug,2018
Maryland,2181,1176,10,0,995,aug,2018
North Carolina,7348,4488,46,3,2811,aug,2018
South Carolina,3612,2707,4,0,901,aug,2018
Virginia,2214,1865,50,30,269,aug,2018
West Virginia,509,246,4,3,256,aug,2018
East South Central D,7216,5320,98,123,1675,aug,2018
Alabama,1381,1194,6,12,169,aug,2018
Kentucky,1526,776,56,25,669,aug,2018
Mississippi,572,555,2,0,15,aug,2018
Tennessee,3737,2795,34,86,822,aug,2018
West South Central D,18913,13938,218,141,4616,aug,2018
Arkansas,715,607,36,28,44,aug,2018
Louisiana,1767,1196,18,3,550,aug,2018
Oklahoma,867,841,18,3,5,aug,2018
Texas,15564,11294,146,107,4017,aug,2018
West,28472,19456,510,466,8040,aug,2018
Mountain,13105,10372,178,202,2353,aug,2018
Arizona,3738,3074,62,46,556,aug,2018
Colorado,3320,2511,46,20,743,aug,2018
Idaho,1379,1076,28,27,248,aug,2018
Montana,339,282,24,15,18,aug,2018
Nevada,1352,1116,0,16,220,aug,2018
New Mexico,416,408,0,3,5,aug,2018
Utah,2406,1773,12,71,550,aug,2018
Wyoming,155,132,6,4,13,aug,2018
Pacific,15367,9084,332,264,5687,aug,2018
Alaska,165,116,4,4,41,aug,2018
California,8826,5449,190,134,3053,aug,2018
Hawaii,332,204,8,20,100,aug,2018
Oregon,1706,991,16,3,696,aug,2018
Washington,4338,2324,114,103,1797,aug,2018
United States,112566,73910,1906,1326,35424,oct,2018
Northeast,10795,6014,436,202,4143,oct,2018
New England,2903,1804,128,43,928,oct,2018
Connecticut,439,302,8,10,119,oct,2018
Maine,485,440,6,3,36,oct,2018
Massachusetts,1155,639,56,15,445,oct,2018
New Hampshire,447,210,4,0,233,oct,2018
Rhode Island,91,87,4,0,0,oct,2018
Vermont,286,126,50,15,95,oct,2018
Middle Atlantic,7892,4210,308,159,3215,oct,2018
New Jersey,2376,1114,108,41,1113,oct,2018
New York,2748,1064,110,68,1506,oct,2018
Pennsylvania,2768,2032,90,50,596,oct,2018
Midwest,19524,11586,416,301,7221,oct,2018
East North Central D,10941,6826,226,245,3644,oct,2018
Illinois,2117,1087,48,76,906,oct,2018
Indiana,2083,1470,28,3,582,oct,2018
Michigan,2936,1695,16,28,1197,oct,2018
Ohio,2167,1393,50,79,645,oct,2018
Wisconsin,1638,1181,84,59,314,oct,2018
West North Central D,8583,4760,190,56,3577,oct,2018
Iowa,1452,826,48,4,574,oct,2018
Kansas,1340,530,32,12,766,oct,2018
Minnesota,2631,1367,2,12,1250,oct,2018
Missouri,1671,1016,76,11,568,oct,2018
Nebraska,690,538,6,6,140,oct,2018
North Dakota,342,214,24,0,104,oct,2018
South Dakota,457,269,2,11,175,oct,2018
South,54687,38767,518,352,15050,oct,2018
South Atlantic,31278,21881,234,126,9037,oct,2018
Delaware,569,521,14,4,30,oct,2018
District of Columbia,1023,11,4,0,1008,oct,2018
Florida,12123,8413,154,71,3485,oct,2018
Georgia,5778,3399,12,27,2340,oct,2018
Maryland,1271,991,6,0,274,oct,2018
North Carolina,5022,3908,26,20,1068,oct,2018
South Carolina,2856,2542,2,0,312,oct,2018
Virginia,2415,1930,16,4,465,oct,2018
West Virginia,221,166,0,0,55,oct,2018
East South Central D,7084,4510,56,106,2412,oct,2018
Alabama,1130,1039,6,7,78,oct,2018
Kentucky,1303,697,24,8,574,oct,2018
Mississippi,695,519,2,68,106,oct,2018
Tennessee,3956,2255,24,23,1654,oct,2018
West South Central D,16325,12376,228,120,3601,oct,2018
Arkansas,707,536,46,50,75,oct,2018
Louisiana,1285,1257,12,4,12,oct,2018
Oklahoma,1092,742,30,0,320,oct,2018
Texas,13241,9841,140,66,3194,oct,2018
West,27560,17543,536,471,9010,oct,2018
Mountain,12708,9331,124,226,3027,oct,2018
Arizona,3156,2547,40,14,555,oct,2018
Colorado,3326,2399,28,65,834,oct,2018
Idaho,1329,1103,12,75,139,oct,2018
Montana,420,243,18,18,141,oct,2018
Nevada,1736,1030,14,6,686,oct,2018
New Mexico,423,339,2,0,82,oct,2018
Utah,2146,1567,8,41,530,oct,2018
Wyoming,172,103,2,7,60,oct,2018
Pacific,14852,8212,412,245,5983,oct,2018
Alaska,129,95,14,7,13,oct,2018
California,8745,4896,230,146,3473,oct,2018
Hawaii,364,274,2,0,88,oct,2018
Oregon,2008,918,22,6,1062,oct,2018
Washington,3606,2029,144,86,1347,oct,2018
United States,99380,65016,1684,1587,31093,sep,2018
Northeast,8165,4930,366,367,2502,sep,2018
New England,2137,1592,116,60,369,sep,2018
Connecticut,269,198,2,0,69,sep,2018
Maine,457,391,10,3,53,sep,2018
Massachusetts,905,590,68,54,193,sep,2018
New Hampshire,253,182,32,0,39,sep,2018
Rhode Island,72,65,4,3,0,sep,2018
Vermont,181,166,0,0,15,sep,2018
Middle Atlantic,6028,3338,250,307,2133,sep,2018
New Jersey,2076,940,96,78,962,sep,2018
New York,2122,961,104,52,1005,sep,2018
Pennsylvania,1830,1437,50,177,166,sep,2018
Midwest,15247,9977,278,217,4775,sep,2018
East North Central D,8812,5828,132,154,2698,sep,2018
Illinois,2482,849,20,83,1530,sep,2018
Indiana,1361,1277,14,0,70,sep,2018
Michigan,1614,1329,28,26,231,sep,2018
Ohio,1478,1257,26,22,173,sep,2018
Wisconsin,1877,1116,44,23,694,sep,2018
West North Central D,6435,4149,146,63,2077,sep,2018
Iowa,736,626,4,0,106,sep,2018
Kansas,766,460,54,11,241,sep,2018
Minnesota,2215,1276,4,3,932,sep,2018
Missouri,870,735,18,12,105,sep,2018
Nebraska,718,459,6,3,250,sep,2018
North Dakota,675,268,48,0,359,sep,2018
South Dakota,455,325,12,34,84,sep,2018
South,50248,34035,628,559,15026,sep,2018
South Atlantic,27369,18089,264,186,8830,sep,2018
Delaware,440,393,8,4,35,sep,2018
District of Columbia,228,13,4,0,211,sep,2018
Florida,10481,7203,118,82,3078,sep,2018
Georgia,4264,3133,30,38,1063,sep,2018
Maryland,1535,853,4,0,678,sep,2018
North Carolina,4247,2969,24,0,1254,sep,2018
South Carolina,2620,2075,2,8,535,sep,2018
Virginia,3306,1280,72,51,1903,sep,2018
West Virginia,248,170,2,3,73,sep,2018
East South Central D,6727,4239,100,117,2271,sep,2018
Alabama,1040,978,4,11,47,sep,2018
Kentucky,1364,695,46,7,616,sep,2018
Mississippi,524,505,2,3,14,sep,2018
Tennessee,3799,2061,48,96,1594,sep,2018
West South Central D,16152,11707,264,256,3925,sep,2018
Arkansas,720,459,40,141,80,sep,2018
Louisiana,1354,1290,52,3,9,sep,2018
Oklahoma,716,618,6,14,78,sep,2018
Texas,13362,9340,166,98,3758,sep,2018
West,25720,16074,412,444,8790,sep,2018
Mountain,12856,8357,90,205,4204,sep,2018
Arizona,3230,2119,34,36,1041,sep,2018
Colorado,4166,2353,10,27,1776,sep,2018
Idaho,1407,919,10,64,414,sep,2018
Montana,396,221,16,23,136,sep,2018
Nevada,1118,893,0,0,225,sep,2018
New Mexico,309,262,0,12,35,sep,2018
Utah,2091,1476,10,35,570,sep,2018
Wyoming,139,114,10,8,7,sep,2018
Pacific,12864,7717,322,239,4586,sep,2018
Alaska,128,102,4,4,18,sep,2018
California,7424,4623,176,132,2493,sep,2018
Hawaii,487,228,6,0,253,sep,2018
Oregon,1433,930,26,10,467,sep,2018
Washington,3392,1834,110,93,1355,sep,2018
