Region,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Month,Year
          Wyoming                       ,269,208,4,3,54,jun,2022
     Pacific Division              ,20407,9326,404,349,10328,jun,2022
          Alaska                        ,128,94,2,4,28,jun,2022
          California                    ,12675,6007,230,201,6237,jun,2022
          Hawaii                        ,254,194,8,0,52,jun,2022
          Oregon                        ,1927,1029,30,12,856,jun,2022
          Washington                    ,5423,2002,134,132,3155,jun,2022
United States                 ,129579,70813,2560,1584,54622,sep,2022
Northeast Region              ,10273,5289,316,178,4490,sep,2022
     New England Division          ,3223,1793,142,63,1225,sep,2022
          Connecticut                   ,384,257,6,0,121,sep,2022
          Maine                         ,488,415,12,6,55,sep,2022
          Massachusetts                 ,1611,609,72,29,901,sep,2022
          New Hampshire                 ,397,311,28,11,47,sep,2022
          Rhode Island                  ,136,85,18,17,16,sep,2022
          Vermont                       ,207,116,6,0,85,sep,2022
     Middle Atlantic Division      ,7050,3496,174,115,3265,sep,2022
          New Jersey                    ,2536,1169,114,39,1214,sep,2022
          New York                      ,2684,1001,26,15,1642,sep,2022
          Pennsylvania                  ,1830,1326,34,61,409,sep,2022
Midwest Region                ,19908,10194,496,454,8764,sep,2022
     East North Central Division   ,11749,6153,286,312,4998,sep,2022
          Illinois                      ,2255,755,56,78,1366,sep,2022
          Indiana                       ,3006,1684,38,58,1226,sep,2022
          Michigan                      ,1714,1252,30,82,350,sep,2022
          Ohio                          ,2535,1390,48,87,1010,sep,2022
          Wisconsin                     ,2239,1072,114,7,1046,sep,2022
     West North Central Division   ,8159,4041,210,142,3766,sep,2022
          Iowa                          ,1174,711,16,18,429,sep,2022
          Kansas                        ,858,452,96,7,303,sep,2022
          Minnesota                     ,2759,1055,18,28,1658,sep,2022
          Missouri                      ,1560,851,58,61,590,sep,2022
          Nebraska                      ,744,381,16,11,336,sep,2022
          North Dakota                  ,321,273,2,0,46,sep,2022
          South Dakota                  ,743,318,4,17,404,sep,2022
South Region                  ,68831,41189,1086,502,26054,sep,2022
     South Atlantic Division       ,39390,22783,412,186,16009,sep,2022
          Delaware                      ,405,385,8,0,12,sep,2022
          District of Columbia          ,986,7,6,0,973,sep,2022
          Florida                       ,17199,9081,258,80,7780,sep,2022
          Georgia                       ,5908,3407,50,35,2416,sep,2022
          Maryland                      ,1653,683,10,4,956,sep,2022
          North Carolina                ,6943,4773,60,8,2102,sep,2022
          South Carolina                ,3204,2670,6,43,485,sep,2022
          Virginia                      ,2883,1612,4,13,1254,sep,2022
          West Virginia                 ,209,165,10,3,31,sep,2022
     East South Central Division   ,6903,4960,150,124,1669,sep,2022
          Alabama                       ,1717,1232,36,13,436,sep,2022
          Kentucky                      ,1198,616,60,46,476,sep,2022
          Mississippi                   ,621,575,6,7,33,sep,2022
          Tennessee                     ,3367,2537,48,58,724,sep,2022
     West South Central Division   ,22538,13446,524,192,8376,sep,2022
          Arkansas                      ,1001,797,26,35,143,sep,2022
          Louisiana                     ,1172,989,36,7,140,sep,2022
          Oklahoma                      ,921,726,40,17,138,sep,2022
          Texas                         ,19444,10934,422,133,7955,sep,2022
West Region                   ,30567,14141,662,450,15314,sep,2022
     Mountain Division             ,14053,7525,300,241,5987,sep,2022
          Arizona                       ,4020,2184,126,27,1683,sep,2022
          Colorado                      ,3671,1579,34,44,2014,sep,2022
          Idaho                         ,1128,893,42,53,140,sep,2022
          Montana                       ,512,205,18,11,278,sep,2022
          Nevada                        ,1659,768,26,24,841,sep,2022
          New Mexico                    ,644,559,0,4,81,sep,2022
          Utah                          ,2232,1197,44,70,921,sep,2022
          Wyoming                       ,187,140,10,8,29,sep,2022
     Pacific Division              ,16514,6616,362,209,9327,sep,2022
          Alaska                        ,131,93,4,10,24,sep,2022
          California                    ,10242,4179,224,93,5746,sep,2022
          Hawaii                        ,479,141,10,0,328,sep,2022
          Oregon                        ,2335,783,38,3,1511,sep,2022
          Washington                    ,3327,1420,86,103,1718,sep,2022
United States                 ,120838,65866,2698,1882,50392,oct,2022
Northeast Region              ,8319,4288,248,153,3630,oct,2022
     New England Division          ,2377,1424,96,32,825,oct,2022
          Connecticut                   ,410,160,14,0,236,oct,2022
          Maine                         ,399,349,8,6,36,oct,2022
          Massachusetts                 ,1056,489,50,16,501,oct,2022
          New Hampshire                 ,311,256,12,7,36,oct,2022
          Rhode Island                  ,84,73,8,3,0,oct,2022
          Vermont                       ,117,97,4,0,16,oct,2022
     Middle Atlantic Division      ,5942,2864,152,121,2805,oct,2022
          New Jersey                    ,1741,980,80,40,641,oct,2022
          New York                      ,2304,832,40,31,1401,oct,2022
          Pennsylvania                  ,1897,1052,32,50,763,oct,2022
Midwest Region                ,19877,9702,774,640,8761,oct,2022
     East North Central Division   ,11685,5855,386,512,4932,oct,2022
          Illinois                      ,1814,789,64,90,871,oct,2022
          Indiana                       ,2355,1350,88,8,909,oct,2022
          Michigan                      ,1597,1194,28,59,316,oct,2022
          Ohio                          ,4159,1531,50,352,2226,oct,2022
          Wisconsin                     ,1760,991,156,3,610,oct,2022
     West North Central Division   ,8192,3847,388,128,3829,oct,2022
          Iowa                          ,1209,601,42,33,533,oct,2022
          Kansas                        ,777,406,80,0,291,oct,2022
          Minnesota                     ,2752,1166,20,35,1531,oct,2022
          Missouri                      ,1552,875,88,24,565,oct,2022
          Nebraska                      ,926,371,86,8,461,oct,2022
          North Dakota                  ,565,134,44,21,366,oct,2022
          South Dakota                  ,411,294,28,7,82,oct,2022
South Region                  ,67616,39235,1056,662,26663,oct,2022
     South Atlantic Division       ,37243,22556,392,317,13978,oct,2022
          Delaware                      ,580,447,6,0,127,oct,2022
          District of Columbia          ,451,69,4,0,378,oct,2022
          Florida                       ,15337,9057,232,221,5827,oct,2022
          Georgia                       ,6111,3371,44,82,2614,oct,2022
          Maryland                      ,924,680,2,0,242,oct,2022
          North Carolina                ,6781,4577,54,7,2143,oct,2022
          South Carolina                ,3637,2788,16,4,829,oct,2022
          Virginia                      ,3198,1383,32,3,1780,oct,2022
          West Virginia                 ,224,184,2,0,38,oct,2022
     East South Central Division   ,5991,4324,68,95,1504,oct,2022
          Alabama                       ,1466,1141,12,14,299,oct,2022
          Kentucky                      ,1513,614,24,22,853,oct,2022
          Mississippi                   ,629,577,8,11,33,oct,2022
          Tennessee                     ,2383,1992,24,48,319,oct,2022
     West South Central Division   ,24382,12355,596,250,11181,oct,2022
          Arkansas                      ,1007,737,68,24,178,oct,2022
          Louisiana                     ,1170,971,44,13,142,oct,2022
          Oklahoma                      ,842,680,18,7,137,oct,2022
          Texas                         ,21363,9967,466,206,10724,oct,2022
West Region                   ,25026,12641,620,427,11338,oct,2022
     Mountain Division             ,12543,6658,296,210,5379,oct,2022
          Arizona                       ,3871,1861,152,8,1850,oct,2022
          Colorado                      ,2919,1446,26,32,1415,oct,2022
          Idaho                         ,1057,653,22,62,320,oct,2022
          Montana                       ,595,307,32,25,231,oct,2022
          Nevada                        ,1250,709,28,19,494,oct,2022
          New Mexico                    ,591,571,0,0,20,oct,2022
          Utah                          ,1704,977,34,60,633,oct,2022
          Wyoming                       ,556,134,2,4,416,oct,2022
     Pacific Division              ,12483,5983,324,217,5959,oct,2022
          Alaska                        ,89,63,2,7,17,oct,2022
          California                    ,7282,3761,172,118,3231,oct,2022
          Hawaii                        ,829,147,12,0,670,oct,2022
          Oregon                        ,1211,794,24,0,393,oct,2022
          Washington                    ,3072,1218,114,92,1648,oct,2022
United States                 ,138965,81002,2628,1887,53448,aug,2022
Northeast Region              ,11417,5221,312,277,5607,aug,2022
     New England Division          ,2838,1725,102,83,928,aug,2022
          Connecticut                   ,396,212,14,3,167,aug,2022
          Maine                         ,564,476,22,12,54,aug,2022
          Massachusetts                 ,1083,543,38,35,467,aug,2022
          New Hampshire                 ,498,270,12,14,202,aug,2022
          Rhode Island                  ,123,86,8,19,10,aug,2022
          Vermont                       ,174,138,8,0,28,aug,2022
     Middle Atlantic Division      ,8579,3496,210,194,4679,aug,2022
          New Jersey                    ,2389,1150,92,62,1085,aug,2022
          New York                      ,4255,967,56,54,3178,aug,2022
          Pennsylvania                  ,1935,1379,62,78,416,aug,2022
Midwest Region                ,19888,11006,516,457,7909,aug,2022
     East North Central Division   ,11062,6463,320,193,4086,aug,2022
          Illinois                      ,1720,832,32,77,779,aug,2022
          Indiana                       ,2207,1447,42,11,707,aug,2022
          Michigan                      ,2446,1389,26,46,985,aug,2022
          Ohio                          ,2767,1622,36,41,1068,aug,2022
          Wisconsin                     ,1922,1173,184,18,547,aug,2022
     West North Central Division   ,8826,4543,196,264,3823,aug,2022
          Iowa                          ,1263,665,28,38,532,aug,2022
          Kansas                        ,704,546,68,4,86,aug,2022
          Minnesota                     ,2725,1232,28,54,1411,aug,2022
          Missouri                      ,2156,1021,26,98,1011,aug,2022
          Nebraska                      ,670,442,28,18,182,aug,2022
          North Dakota                  ,285,265,12,3,5,aug,2022
          South Dakota                  ,1023,372,6,49,596,aug,2022
South Region                  ,75669,47072,1102,589,26906,aug,2022
     South Atlantic Division       ,43288,26558,380,294,16056,aug,2022
          Delaware                      ,595,556,26,0,13,aug,2022
          District of Columbia          ,1555,14,6,4,1531,aug,2022
          Florida                       ,16834,10905,220,141,5568,aug,2022
          Georgia                       ,7694,3792,48,84,3770,aug,2022
          Maryland                      ,1125,691,4,23,407,aug,2022
          North Carolina                ,8119,5367,44,11,2697,aug,2022
          South Carolina                ,3797,3244,10,25,518,aug,2022
          Virginia                      ,3245,1702,20,3,1520,aug,2022
          West Virginia                 ,324,287,2,3,32,aug,2022
     East South Central Division   ,7419,5143,164,101,2011,aug,2022
          Alabama                       ,2542,1290,64,57,1131,aug,2022
          Kentucky                      ,1407,743,50,25,589,aug,2022
          Mississippi                   ,670,624,4,9,33,aug,2022
          Tennessee                     ,2800,2486,46,10,258,aug,2022
     West South Central Division   ,24962,15371,558,194,8839,aug,2022
          Arkansas                      ,1412,829,58,65,460,aug,2022
          Louisiana                     ,1439,1209,80,7,143,aug,2022
          Oklahoma                      ,1161,855,90,3,213,aug,2022
          Texas                         ,20950,12478,330,119,8023,aug,2022
West Region                   ,31991,17703,698,564,13026,aug,2022
     Mountain Division             ,15059,9090,276,345,5348,aug,2022
          Arizona                       ,4603,2827,120,19,1637,aug,2022
          Colorado                      ,3927,1835,32,43,2017,aug,2022
          Idaho                         ,1589,1101,36,105,347,aug,2022
          Montana                       ,483,361,14,14,94,aug,2022
          Nevada                        ,1267,869,12,18,368,aug,2022
          New Mexico                    ,616,593,0,0,23,aug,2022
          Utah                          ,2175,1322,54,54,745,aug,2022
          Wyoming                       ,399,182,8,92,117,aug,2022
     Pacific Division              ,16932,8613,422,219,7678,aug,2022
          Alaska                        ,134,104,6,4,20,aug,2022
          California                    ,11045,5637,270,105,5033,aug,2022
          Hawaii                        ,228,185,6,0,37,aug,2022
          Oregon                        ,1446,825,34,6,581,aug,2022
          Washington                    ,4079,1862,106,104,2007,aug,2022
United States                 ,148984,95355,2854,1880,48895,may,2022
Northeast Region              ,10895,5797,374,250,4474,may,2022
     New England Division          ,3144,1858,110,80,1096,may,2022
          Connecticut                   ,342,223,8,3,108,may,2022
          Maine                         ,639,529,14,11,85,may,2022
          Massachusetts                 ,1482,555,52,57,818,may,2022
          New Hampshire                 ,369,330,12,6,21,may,2022
          Rhode Island                  ,128,91,16,3,18,may,2022
          Vermont                       ,184,130,8,0,46,may,2022
     Middle Atlantic Division      ,7751,3939,264,170,3378,may,2022
          New Jersey                    ,2239,1251,96,24,868,may,2022
          New York                      ,3325,1124,98,42,2061,may,2022
          Pennsylvania                  ,2187,1564,70,104,449,may,2022
Midwest Region                ,22239,13001,448,476,8314,may,2022
     East North Central Division   ,11668,7583,244,308,3533,may,2022
          Illinois                      ,1702,897,40,95,670,may,2022
          Indiana                       ,2848,2117,30,4,697,may,2022
          Michigan                      ,2386,1598,32,56,700,may,2022
          Ohio                          ,2305,1723,26,138,418,may,2022
          Wisconsin                     ,2427,1248,116,15,1048,may,2022
     West North Central Division   ,10571,5418,204,168,4781,may,2022
          Iowa                          ,1257,857,20,15,365,may,2022
          Kansas                        ,739,584,72,9,74,may,2022
          Minnesota                     ,3607,1631,22,32,1922,may,2022
          Missouri                      ,1779,1119,48,17,595,may,2022
          Nebraska                      ,1069,489,12,3,565,may,2022
          North Dakota                  ,340,267,18,3,52,may,2022
          South Dakota                  ,1780,471,12,89,1208,may,2022
South Region                  ,81228,55286,1228,493,24221,may,2022
     South Atlantic Division       ,46032,30721,372,201,14738,may,2022
          Delaware                      ,606,582,12,0,12,may,2022
          District of Columbia          ,540,14,4,0,522,may,2022
          Florida                       ,20152,12635,184,123,7210,may,2022
          Georgia                       ,5973,4419,58,21,1475,may,2022
          Maryland                      ,1517,1008,2,0,507,may,2022
          North Carolina                ,8648,6084,42,3,2519,may,2022
          South Carolina                ,4192,3547,46,51,548,may,2022
          Virginia                      ,4004,2073,18,3,1910,may,2022
          West Virginia                 ,400,359,6,0,35,may,2022
     East South Central Division   ,7644,6432,168,116,928,may,2022
          Alabama                       ,1788,1540,54,17,177,may,2022
          Kentucky                      ,1251,916,58,45,232,may,2022
          Mississippi                   ,830,785,6,7,32,may,2022
          Tennessee                     ,3775,3191,50,47,487,may,2022
     West South Central Division   ,27552,18133,688,176,8555,may,2022
          Arkansas                      ,1745,961,94,68,622,may,2022
          Louisiana                     ,1478,1295,46,7,130,may,2022
          Oklahoma                      ,1411,1045,70,0,296,may,2022
          Texas                         ,22918,14832,478,101,7507,may,2022
West Region                   ,34622,21271,804,661,11886,may,2022
     Mountain Division             ,18309,11804,344,257,5904,may,2022
          Arizona                       ,5264,3834,172,8,1250,may,2022
          Colorado                      ,4583,2384,90,92,2017,may,2022
          Idaho                         ,2160,1388,30,90,652,may,2022
          Montana                       ,531,249,12,13,257,may,2022
          Nevada                        ,1641,1282,10,13,336,may,2022
          New Mexico                    ,1004,618,0,0,386,may,2022
          Utah                          ,2890,1830,22,37,1001,may,2022
          Wyoming                       ,236,219,8,4,5,may,2022
     Pacific Division              ,16313,9467,460,404,5982,may,2022
          Alaska                        ,148,109,8,7,24,may,2022
          California                    ,10263,6022,202,239,3800,may,2022
          Hawaii                        ,193,105,54,0,34,may,2022
          Oregon                        ,1448,1033,42,14,359,may,2022
          Washington                    ,4261,2198,154,144,1765,may,2022
